Date,Product,Region,Amount
23/05/2020,Pizza,South West, 257.70 
01/05/2020,Green Tea,South West, 179.81 
29/05/2020,Beef,South West, 109.95 
11/05/2020,Beef,North, 365.42 
28/05/2020,Tomatoes,South, 384.36 
28/05/2020,Chicken,South, 316.22 
31/05/2020,Pizza,Central, 290.56 
25/05/2020,Pizza,South, 269.08 
27/05/2020,Cucumber,South, 248.48 
09/05/2020,Tomatoes,Central, 117.13 
15/05/2020,Chicken,South, 290.10 
21/05/2020,Sandwiches,Central, 263.58 
15/05/2020,Pizza,East, 374.03 
27/05/2020,Orange Juice,North, 201.61 
29/05/2020,Pizza,East, 359.12 
27/05/2020,Beef,Central, 242.60 
18/05/2020,Beef,North, 286.51 
11/05/2020,Broccoli,Central, 363.50 
27/05/2020,Green Tea,Central, 19.47 
18/05/2020,Green Tea,East, 98.92 
07/05/2020,Green Tea,Central, 85.15 
07/05/2020,Broccoli,South, 146.47 
10/05/2020,Orange Juice,South, 56.21 
07/05/2020,Green Tea,South, 163.69 
30/05/2020,Tomatoes,Central, 269.29 
13/05/2020,Beef,Central, 265.92 
21/05/2020,Green Tea,South West, 117.32 
15/05/2020,Cucumber,East, 121.34 
03/05/2020,Orange Juice,North, 83.10 
23/05/2020,Pizza,South West, 314.02 
08/05/2020,Beef,North, 324.19 
27/05/2020,Cucumber,North, 360.01 
01/05/2020,Beef,South West, 235.45 
15/05/2020,Broccoli,East, 320.43 
20/05/2020,Chicken,East, 65.49 
05/05/2020,Chicken,Central, 255.27 
31/05/2020,Beef,East, 31.70 
08/05/2020,Green Tea,South, 160.06 
22/05/2020,Tomatoes,South West, 173.39 
15/05/2020,Beef,South, 201.40 
02/05/2020,Orange Juice,South, 356.78 
15/05/2020,Beef,Central, 359.04 
22/05/2020,Beef,East,141.1
23/05/2020,Pizza,South West,20.12
10/05/2020,Beef,South West,124.1
25/05/2020,Chicken,North,266.37
18/05/2020,Cucumber,South,400.62
25/05/2020,Broccoli,South,246.58
07/05/2020,Sandwiches,South West,326.91
15/05/2020,Cucumber,South West,253.25
04/05/2020,Pizza,South,128.99
21/05/2020,Orange Juice,South,169.75
28/05/2020,Chicken,South West,31.27
06/05/2020,Beef,South West,151.59
04/05/2020,Chicken,East,94.84
24/05/2020,Chicken,Central,30.33
26/05/2020,Cucumber,East,220.15
23/05/2020,Broccoli,South West,61.31
28/05/2020,Cucumber,East,22.62
06/05/2020,Chicken,South,368.18
07/05/2020,Beef,South,67.82
13/05/2020,Orange Juice,East,264.15
28/05/2020,Green Tea,East,384.42
13/05/2020,Tomatoes,North,348.18
29/05/2020,Beef,South West,247.11
04/05/2020,Chicken,South West,254.07
31/05/2020,Broccoli,North,275.75
25/05/2020,Beef,South West,387.14
03/05/2020,Sandwiches,North,216.36
29/05/2020,Pizza,Central,104.74
16/05/2020,Cucumber,East,318.79
14/05/2020,Chicken,North,262.66
29/05/2020,Chicken,Central,219
06/05/2020,Pizza,South,59.93
15/05/2020,Tomatoes,Central,62.07
15/05/2020,Pizza,East,241.18
24/05/2020,Chicken,Central,250.62
19/05/2020,Chicken,South West,130.63
08/05/2020,Orange Juice,South,336.3
22/05/2020,Beef,East,273.54
21/05/2020,Orange Juice,Central,91.29
12/05/2020,Tomatoes,North,115.39
09/05/2020,Pizza,Central,182.26
13/05/2020,Sandwiches,South,151.55
13/05/2020,Orange Juice,North,377.8
31/05/2020,Orange Juice,Central,87.46
09/05/2020,Broccoli,Central,317.08
31/05/2020,Orange Juice,East,372.15
22/05/2020,Orange Juice,South,378.21
17/05/2020,Pizza,East,266.26
11/05/2020,Broccoli,South,48.36
04/05/2020,Tomatoes,East,328.56
17/05/2020,Tomatoes,East,239.52
08/05/2020,Beef,South West,331.06
12/05/2020,Beef,East,244.35
28/05/2020,Beef,East,14.27
02/05/2020,Chicken,South West,239.55
18/05/2020,Broccoli,South West,281.62
04/05/2020,Beef,North,296.29
05/05/2020,Orange Juice,East,329.29
14/05/2020,Green Tea,North,350.84
10/05/2020,Orange Juice,Central,230.39
15/05/2020,Orange Juice,South West,148.87
28/05/2020,Sandwiches,South,265.56
05/05/2020,Chicken,South,259.56
16/05/2020,Tomatoes,North,114.99
07/05/2020,Cucumber,North,14.19
15/05/2020,Sandwiches,East,158.83
22/05/2020,Pizza,South,103.36
20/05/2020,Chicken,North,269.48
07/05/2020,Sandwiches,South,14.24
23/05/2020,Cucumber,East,338.72
03/05/2020,Tomatoes,North,388.93
21/05/2020,Tomatoes,Central,340.62
01/05/2020,Sandwiches,East,286.58
09/05/2020,Sandwiches,South West,48.4
25/05/2020,Orange Juice,Central,14.51
29/05/2020,Green Tea,South,200.66
25/05/2020,Sandwiches,Central,121.74
01/05/2020,Beef,South West,226.25
24/05/2020,Cucumber,East,48.24
22/05/2020,Beef,South,229.7
08/05/2020,Pizza,Central,113.9
28/05/2020,Broccoli,South,15.08
29/05/2020,Broccoli,East,131.92
21/05/2020,Chicken,South,294.54
09/05/2020,Tomatoes,Central,376.63
16/05/2020,Orange Juice,North,295.76
20/05/2020,Cucumber,East,23.16
29/05/2020,Pizza,East,42.18
16/05/2020,Broccoli,South,78.22
15/05/2020,Pizza,South West,320.24
15/05/2020,Sandwiches,East,293.24
12/05/2020,Green Tea,Central,90.74
20/05/2020,Sandwiches,East,288.47
08/05/2020,Beef,South,297.46
12/05/2020,Sandwiches,Central,46.86
07/05/2020,Cucumber,North,77.87
01/05/2020,Broccoli,East,338.7
12/05/2020,Cucumber,South West,258.79
26/05/2020,Broccoli,Central,391.11
24/05/2020,Chicken,Central,278.59
22/05/2020,Green Tea,North,31.9
01/05/2020,Broccoli,South,317.58
04/05/2020,Tomatoes,South West,245.55
23/05/2020,Beef,South West,344.05
16/05/2020,Sandwiches,North,264.14
20/05/2020,Pizza,North,344.03
22/05/2020,Tomatoes,East,31.16
15/05/2020,Broccoli,North,177.77
07/05/2020,Pizza,East,55.59
07/05/2020,Tomatoes,North,153.42
30/05/2020,Green Tea,East,187.82
04/05/2020,Pizza,South West,165.36
04/05/2020,Green Tea,North,243.64
06/05/2020,Broccoli,South,366.19
11/05/2020,Pizza,South,286.82
09/05/2020,Broccoli,Central,175.41
02/05/2020,Broccoli,Central,240.75
11/05/2020,Chicken,South West,170.74
17/05/2020,Orange Juice,Central,166.82
10/05/2020,Broccoli,Central,248.48
21/05/2020,Chicken,South,83.22
15/05/2020,Chicken,East,223.16
11/05/2020,Beef,North,20.93
31/05/2020,Cucumber,South West,258.18
31/05/2020,Tomatoes,East,134.42
27/05/2020,Sandwiches,South West,67.99
24/05/2020,Broccoli,North,198.04
19/05/2020,Chicken,North,282.05
06/05/2020,Green Tea,North,60.91
19/05/2020,Tomatoes,East,195.98
07/05/2020,Orange Juice,East,210.49
11/05/2020,Green Tea,North,199.61
25/05/2020,Chicken,South,78.83
22/05/2020,Sandwiches,East,254.94
03/05/2020,Orange Juice,South,67.17
15/05/2020,Cucumber,Central,266.69
28/05/2020,Sandwiches,North,161.93
11/05/2020,Cucumber,South West,372.38
24/05/2020,Pizza,Central,356.91
11/05/2020,Sandwiches,North,315.76
19/05/2020,Sandwiches,North,52.29
08/05/2020,Beef,North,286.36
04/05/2020,Broccoli,South West,28.37
30/05/2020,Orange Juice,Central,361.34
08/05/2020,Broccoli,North,213.33
22/05/2020,Beef,North,32.29
06/05/2020,Beef,South West,139.09
12/05/2020,Beef,North,262.56
30/05/2020,Cucumber,Central,179.27
19/05/2020,Sandwiches,South,358.95
16/05/2020,Sandwiches,South,175.98
16/05/2020,Sandwiches,South,236.92
11/05/2020,Green Tea,East,247.62
18/05/2020,Broccoli,Central,124.15
13/05/2020,Sandwiches,East,330.88
22/05/2020,Chicken,South West,293.64
09/05/2020,Cucumber,South,39.64
03/05/2020,Cucumber,Central,208.32
16/05/2020,Broccoli,South West,357.87
19/05/2020,Pizza,East,289.87
17/05/2020,Green Tea,East,383.67
26/05/2020,Sandwiches,South West,157.86
22/05/2020,Cucumber,North,56.64
23/05/2020,Pizza,North,49.04
20/05/2020,Green Tea,South,368.73
21/05/2020,Orange Juice,South West,239.12
11/05/2020,Sandwiches,North,22.04
17/05/2020,Tomatoes,North,332.18
15/05/2020,Sandwiches,South,214.71
30/05/2020,Beef,South West,88.24
27/05/2020,Pizza,East,334.18
13/05/2020,Beef,South West,350.65
14/05/2020,Broccoli,Central,154.89
10/05/2020,Orange Juice,East,398.73
25/05/2020,Beef,South West,119.46
25/05/2020,Green Tea,Central,51.66
28/05/2020,Chicken,North,176.1
06/05/2020,Tomatoes,Central,205.07
11/05/2020,Broccoli,South,36.24
14/05/2020,Pizza,South West,177.52
26/05/2020,Green Tea,South,83.56
20/05/2020,Broccoli,North,217.71
04/05/2020,Green Tea,Central,88.07
26/05/2020,Cucumber,Central,98.46
17/05/2020,Cucumber,South West,199.43
03/05/2020,Orange Juice,East,45.37
15/05/2020,Chicken,South,355.02
27/05/2020,Tomatoes,Central,330.17
20/05/2020,Chicken,South West,238.53
27/05/2020,Beef,Central,381.3
11/05/2020,Beef,South West,70.78
14/05/2020,Cucumber,North,261.61
06/05/2020,Tomatoes,North,171.99
27/05/2020,Orange Juice,Central,373.11
05/05/2020,Orange Juice,North,153.99
30/05/2020,Orange Juice,East,71.63
22/05/2020,Orange Juice,North,340.82
